part,group,material,pieces,size_x_mm,size_y_mm,size_z_mm
collets_ex_6_2,03 Heads and Valvetrain,steel_nitrided,1,6.0,12.3,12.6
collets_ex_7_1,03 Heads and Valvetrain,steel_nitrided,1,6.0,12.3,12.6
collets_ex_7_2,03 Heads and Valvetrain,steel_nitrided,1,6.0,12.3,12.6
collets_ex_8_1,03 Heads and Valvetrain,steel_nitrided,1,6.0,12.3,12.6
collets_ex_8_2,03 Heads and Valvetrain,steel_nitrided,1,6.0,12.3,12.6
collets_in_1_1,03 Heads and Valvetrain,steel_nitrided,1,6.0,12.5,12.5
collets_in_1_2,03 Heads and Valvetrain,steel_nitrided,1,6.0,12.5,12.5
collets_in_2_1,03 Heads and Valvetrain,steel_nitrided,1,6.0,12.5,12.5
collets_in_2_2,03 Heads and Valvetrain,steel_nitrided,1,6.0,12.5,12.5
collets_in_3_1,03 Heads and Valvetrain,steel_nitrided,1,6.0,12.5,12.5
collets_in_3_2,03 Heads and Valvetrain,steel_nitrided,1,6.0,12.5,12.5
collets_in_4_1,03 Heads and Valvetrain,steel_nitrided,1,6.0,12.5,12.5
collets_in_4_2,03 Heads and Valvetrain,steel_nitrided,1,6.0,12.5,12.5
collets_in_5_1,03 Heads and Valvetrain,steel_nitrided,1,6.0,12.5,12.5
collets_in_5_2,03 Heads and Valvetrain,steel_nitrided,1,6.0,12.5,12.5
collets_in_6_1,03 Heads and Valvetrain,steel_nitrided,1,6.0,12.5,12.5
collets_in_6_2,03 Heads and Valvetrain,steel_nitrided,1,6.0,12.5,12.5
collets_in_7_1,03 Heads and Valvetrain,steel_nitrided,1,6.0,12.5,12.5
collets_in_7_2,03 Heads and Valvetrain,steel_nitrided,1,6.0,12.5,12.5
collets_in_8_1,03 Heads and Valvetrain,steel_nitrided,1,6.0,12.5,12.5
collets_in_8_2,03 Heads and Valvetrain,steel_nitrided,1,6.0,12.5,12.5
head_gasket_l,03 Heads and Valvetrain,steel_nitrided,16,442.0,100.8,100.8
head_gasket_r,03 Heads and Valvetrain,steel_nitrided,16,442.0,100.8,100.8
head_l,03 Heads and Valvetrain,alu_cast,1,455.5,167.7,165.7
head_r,03 Heads and Valvetrain,alu_cast,1,455.5,167.7,165.7
head_studs,03 Heads and Valvetrain,alu_cast,16,457.0,254.0,87.8
injector_di_1,03 Heads and Valvetrain,steel_nitrided,4,34.9,47.3,34.0
injector_di_2,03 Heads and Valvetrain,steel_nitrided,4,34.9,47.3,34.0
injector_di_3,03 Heads and Valvetrain,steel_nitrided,4,34.9,47.3,34.0
injector_di_4,03 Heads and Valvetrain,steel_nitrided,4,34.9,47.3,34.0
injector_di_5,03 Heads and Valvetrain,steel_nitrided,4,34.9,47.3,34.0
injector_di_6,03 Heads and Valvetrain,steel_nitrided,4,34.9,47.3,34.0
injector_di_7,03 Heads and Valvetrain,steel_nitrided,4,34.9,47.3,34.0
injector_di_8,03 Heads and Valvetrain,steel_nitrided,4,34.9,47.3,34.0
oil_filler_l,03 Heads and Valvetrain,anodised,1,46.0,41.0,41.0
oil_filler_r,03 Heads and Valvetrain,anodised,1,46.0,41.0,41.0
retainer_1_0,03 Heads and Valvetrain,titanium,1,26.4,16.8,23.0
retainer_1_1,03 Heads and Valvetrain,titanium,1,26.4,16.8,23.0
retainer_1_2,03 Heads and Valvetrain,titanium,1,26.4,23.0,16.8
retainer_1_3,03 Heads and Valvetrain,titanium,1,26.4,23.0,16.8
retainer_2_0,03 Heads and Valvetrain,titanium,1,26.4,16.8,23.0
retainer_2_1,03 Heads and Valvetrain,titanium,1,26.4,16.8,23.0
retainer_2_2,03 Heads and Valvetrain,titanium,1,26.4,23.0,16.8
retainer_2_3,03 Heads and Valvetrain,titanium,1,26.4,23.0,16.8
retainer_3_0,03 Heads and Valvetrain,titanium,1,26.4,16.8,23.0
retainer_3_1,03 Heads and Valvetrain,titanium,1,26.4,16.8,23.0
retainer_3_2,03 Heads and Valvetrain,titanium,1,26.4,23.0,16.8
retainer_3_3,03 Heads and Valvetrain,titanium,1,26.4,23.0,16.8
retainer_4_0,03 Heads and Valvetrain,titanium,1,26.4,16.8,23.0
retainer_4_1,03 Heads and Valvetrain,titanium,1,26.4,16.8,23.0
retainer_4_2,03 Heads and Valvetrain,titanium,1,26.4,23.0,16.8
retainer_4_3,03 Heads and Valvetrain,titanium,1,26.4,23.0,16.8
retainer_5_0,03 Heads and Valvetrain,titanium,1,26.4,16.8,23.0
retainer_5_1,03 Heads and Valvetrain,titanium,1,26.4,16.8,23.0
retainer_5_2,03 Heads and Valvetrain,titanium,1,26.4,23.0,16.8
retainer_5_3,03 Heads and Valvetrain,titanium,1,26.4,23.0,16.8
retainer_6_0,03 Heads and Valvetrain,titanium,1,26.4,16.8,23.0
retainer_6_1,03 Heads and Valvetrain,titanium,1,26.4,16.8,23.0
retainer_6_2,03 Heads and Valvetrain,titanium,1,26.4,23.0,16.8
retainer_6_3,03 Heads and Valvetrain,titanium,1,26.4,23.0,16.8
